徳島県内宿泊施設一覧(判明分のみ),,更新日,2014.11.25,,,,,,
ID,施設名,業種,郵便番号,住所,緯度,経度,電話番号,URL,
41,ホテル越久,ビジネスホテル,770-0931,徳島県徳島市富田浜１丁目２２,34.067691,134.551838,088-623-6081,http://www.hyper-inn.net/asp/nwsitem.asp?nw_id=79,
42,ビジネスホテル笹田,ビジネスホテル,770-0931,徳島県徳島市富田浜１丁目９,34.068289,134.550916,088-625-1288,,
43,ホテルキャッスルＣＶ,ビジネスホテル,770-0812,徳島県徳島市北常三島町２丁目１１－１,34.080673,134.561866,088-625-2334,,
44,東横イン徳島駅前,ビジネスホテル,770-0843,徳島県徳島市両国本町１丁目５,34.071381,134.552883,088-657-1046,http://www.toyoko-inn.com/hotel/00192/index.html,
45,ホテルアストリア,ビジネスホテル・ビジネス旅館,770-0833,徳島県徳島市一番町２丁目２６－１,34.072313,134.552758,088-653-6151,,
46,ビジネスホテルエーゲ,ビジネスホテル・ビジネス旅館,770-0802,徳島県徳島市吉野本町５丁目１６,34.085402,134.551877,088-622-4199,,
47,ビジネス旅館七歩,ビジネスホテル・ビジネス旅館,770-0934,徳島県徳島市秋田町２丁目４９,34.064742,134.550418,088-622-8891,,
48,ともや旅館,ビジネスホテル・ビジネス旅館,770-0846,徳島県徳島市南内町１丁目４９－１,34.06861,134.552971,088-652-6051,,
49,剣山ホテル,ビジネスホテル・ビジネス旅館,770-0846,徳島県徳島市南内町２丁目１１,34.069874,134.551079,088-654-3331,,
50,ニュー丸新,ビジネスホテル・ビジネス旅館,770-0931,徳島県徳島市富田浜３丁目１０,34.066747,134.554836,088-652-4752,,
51,はやし別館,ビジネスホテル・ビジネス旅館・観光旅館,770-0844,徳島県徳島市中通町２丁目２２,34.071054,134.550841,088-622-9191,,
52,喜楽,ビジネスホテル・ビジネス旅館・民宿,770-0814,徳島県徳島市南常三島町３丁目７－４,34.077625,134.563646,088-625-4275,http://ki-raku.info/,
53,徳島グリーンホテル,ビジネスホテル・観光ホテル,770-0815,徳島県徳島市助任橋４丁目５－２,34.081239,134.559613,088-622-1333,http://nttbj.itp.ne.jp/0886221333/,
54,阿波観光ホテル,ビジネスホテル・観光ホテル・旅館,770-0833,徳島県徳島市一番町３丁目１６－３,34.072732,134.551014,088-622-5161,http://www.awakan.jp/,
55,ビジネスホテル民宿港,ビジネスホテル・民宿,770-0865,徳島県徳島市南末広町２－７７,34.062031,134.570539,088-623-6248,,
56,志のみや,ビジネスホテル・民宿・旅館,770-0868,徳島県徳島市福島１丁目３－１９,34.069667,134.563477,088-623-7274,,
57,ファーストイン徳島,ビジネスホテル・民宿・旅館,770-0918,徳島県徳島市栄町1丁目11-2-2Ｆ,34.066326,134.549135,088-652-4111,,
58,サウナ・カプセル・サミットプラザ,カプセルホテル・ビジネスホテル,770-0923,徳島県徳島市大道１丁目８,34.066914,134.547711,088-622-1177,http://www.tk2.nmt.ne.jp/~3met/,
59,徳島グランドホテル偕楽園,ホテル・温泉旅館・割ぽう旅館・観光ホテル,770-0926,徳島県徳島市伊賀町１丁目８,34.066847,134.544791,088-623-3333,http://www.kairakuenkanko.co.jp/,
60,昴宿よしの,ホテル・割ぽう旅館・観光ホテル・観光旅館,770-0833,徳島県徳島市一番町３丁目１８,34.072853,134.550722,088-654-2255,http://www.awa-yoshino.co.jp,
61,ホテル白水園,ホテル・観光ホテル・観光旅館,770-0932,徳島県徳島市仲之町１丁目４０,34.066573,134.550645,088-622-9165,http://www.hakusuien.co.jp/,
62,かんぽの宿徳島,ホテル・旅館,770-8071,徳島県徳島市八万町中津山３－７０,34.066978,134.530766,088-625-1255,http://www.kanponoyado.japanpost.jp/yado/tokushima/,
63,徳島ユースホステル,ユースホステル・公共の宿,770-8012,徳島県徳島市大原町浜７－１,34.030148,134.587087,088-663-1505,http://www.jyh.gr.jp/~tokushima/,
64,芳乃館,旅館,770-0832,徳島県徳島市寺島本町東２丁目１８－１,34.072836,134.552212,088-622-0123,,
65,あたけ食堂 旅館,旅館,770-0942,徳島県徳島市昭和町８丁目１２３,34.057959,134.56891,088-622-1420,,
66,勝浦屋旅館,旅館,770-0845,徳島県徳島市新内町２丁目２５,34.070686,134.550434,088-652-8729,,
67,常磐旅館,旅館,770-0042,徳島県徳島市蔵本町１丁目１５,34.078432,134.519416,088-632-5011,,
68,松風荘,旅館,770-8012,徳島県徳島市大原町大神子１０－１,34.028455,134.58767,088-662-1083,,
69,わかさ旅館,旅館,770-0922,徳島県徳島市鷹匠町５丁目１１,34.060353,134.547979,088-652-7858,,
70,佳都美旅館,旅館,770-0943,徳島県徳島市中昭和町５丁目４１－２,34.060234,134.562343,088-652-1231,,
71,菊乃旅館,旅館,770-0844,徳島県徳島市中通町２丁目１５,34.070939,134.550568,088-623-5010,,
72,山本旅館,旅館,770-0846,徳島県徳島市南内町１丁目２０,34.06909,134.55175,088-622-3788,,
73,丸徳旅館,旅館,770-0846,徳島県徳島市南内町３丁目１４,34.070823,134.549806,088-623-3385,,
74,やまうち旅館,旅館,770-0937,徳島県徳島市富田橋１丁目４０－１,34.064709,134.55356,088-625-1237,,
75,瀧見旅館,旅館,,徳島県徳島市藍場町2丁目,,,088-652-3012,,緯度経度不明
76,さくら荘,ビジネス旅館,770-0832,徳島県徳島市寺島本町東１丁目２５－１,34.073095,134.553707,088-623-7859,,
77,大正楼,ビジネス旅館・割ぽう旅館・観光旅館,770-0042,徳島県徳島市蔵本町１丁目２４,34.07879,134.519744,088-631-8881,,
78,鱗楼,ビジネス旅館・観光旅館,779-3124,徳島県徳島市国府町中２６８－１,34.069025,134.478409,088-642-4337,http://urokorou.com/,
79,かどや旅館,割ぽう旅館,779-3132,徳島県徳島市一宮町西丁２６８,34.037955,134.463291,088-644-0411,,
80,民宿志のみや,民宿,770-0868,徳島県徳島市福島１丁目３－１９,34.069694,134.563433,088-623-7274,,
81,名西旅館,民宿・旅館,779-3132,徳島県徳島市一宮町西丁２３４,34.037755,134.463274,088-644-0025,http://www.myouzai.burari.biz/,
82,建治寺,宿坊,779-3133,徳島県徳島市入田町金治２３０,34.027621,134.428806,088-644-1232,http://www7b.biglobe.ne.jp/~konjiji/,
83,ホテルリッジ,ホテル,771-0367,徳島県鳴門市瀬戸町大島田字中山１－１,34.242659,134.612039,088-688-1212,http://www.narutoparkhills.jp/hotelridge/,
84,グランドエクシブ鳴門,ホテル,771-0876,徳島県鳴門市北灘町折野字上三津１６７－３,34.202984,134.470351,088-682-0246,http://reserve.resort.co.jp/hotels/xiv/naru/,
85,モアナコースト,ホテル,772-0053,徳島県鳴門市鳴門町土佐泊浦字高砂１８６－１６,34.200928,134.624301,088-687-2255,http://www.moana.co.jp/,
86,ルネッサンスリゾートナルト,ホテル,772-0053,徳島県鳴門市鳴門町土佐泊浦字大毛１６－４５,34.219865,134.632697,088-687-2580,http://www.renaissance-naruto.com/,
87,ビジネスホテル鳴門,ビジネスホテル,772-0002,徳島県鳴門市撫養町斎田字大堤１０４－１０５,34.176909,134.608208,088-686-2555,http://businesshotel-naruto.com/,
88,ビジネスホテル ビーエム,ビジネスホテル,772-0012,徳島県鳴門市撫養町小桑島字前浜１６８－１,34.18132,134.604256,088-686-0211,,
89,ホテル アドイン鳴門,ビジネスホテル,772-0002,徳島県鳴門市撫養町斉田字大堤5-5,34.176933,134.609353,088-685-1115,http://www.narutokanko.co.jp/adinn/,
90,ビジネスホテル北洋,ビジネスホテル,772-0011,徳島県鳴門市撫養町大桑島字濘岩浜５１－１,34.187871,134.613523,088-685-8883,http://www.tv-naruto.ne.jp/sjunpei/,
91,ビジネスホテル ぶどう屋,ビジネスホテル,772-0003,徳島県鳴門市撫養町南浜字東浜４３３,34.174135,134.607821,088-686-1788,,
92,ホテル ファーストシーズン,ビジネスホテル・観光ホテル,772-0002,徳島県鳴門市撫養町斎田字大堤２２８,34.176791,134.60756,088-686-3261,http://first-season.co.jp/,
93,鳴門ホテルはま,ビジネスホテル・観光ホテル,772-0012,徳島県鳴門市撫養町小桑島字前浜６５,34.178819,134.60665,088-685-2600,http://www.naruto-hotel-hama.com/,
94,鳴門グランドホテル,ホテル・観光ホテル,772-0053,徳島県鳴門市鳴門町土佐泊浦字大毛８２－８８,34.22257,134.634449,088-687-1515,http://www.narutograndhotel.com,
95,旅館 水の,ホテル・観光ホテル・観光旅館,772-0013,徳島県鳴門市撫養町岡崎字二等道路東１０１,34.182717,134.621679,088-685-4131,http://www.ryokan-mizuno.co.jp/,
96,鳴門海月,ホテル・旅館,772-0053,徳島県鳴門市鳴門町土佐泊浦字福池６５－７,34.237529,134.642318,088-687-0333,http://narutokaigetsu.jp/,
97,かどや椿荘,旅館,779-0236,徳島県鳴門市大麻町板東字西山田８,34.15684,134.502056,088-689-0705,http://www.kadoya-tubakiso.ecweb.jp/index.htm,
98,旅館 さぬきや,旅館,772-0014,徳島県鳴門市撫養町弁財天字三ツ井丁３９,34.180717,134.619464,088-686-3301,http://www12.ocn.ne.jp/~sanukiya/,
99,大鳥居苑,割ぽう旅館,779-0236,徳島県鳴門市大麻町板東字西山田３３－４,34.159712,134.501885,088-689-3523,http://55web.jp/ootoriien/,
100,公園水野,観光旅館,772-0053,徳島県鳴門市鳴門町土佐泊浦字福池65-8,34.237268,134.642275,088-687-0411,http://www.koen-mizuno.com/,
101,旅館松家,観光旅館・民宿,772-0013,徳島県鳴門市撫養町岡崎字二等道路東８７－２,34.181238,134.622743,088-686-4573,,
102,大黒屋,民宿,771-0361,徳島県鳴門市瀬戸町堂浦字地廻り弐２８１－２,34.21902,134.587422,088-688-0634,,
103,民宿 くすみ,民宿,771-0361,徳島県鳴門市瀬戸町堂浦字地廻り弐４３９,34.219739,134.588758,088-688-0071,http://www.tk2.nmt.ne.jp/~turijoho/,
104,はまべ,民宿,771-0369,徳島県鳴門市瀬戸町撫佐字本村６－１,34.234043,134.609775,088-688-0669,,
105,民宿観梅苑,民宿,779-0230,徳島県鳴門市大麻町板東字広塚９,34.166272,134.502131,088-689-0697,http://www.tv-naruto.ne.jp/kanbaien/,
106,民宿つしまや,民宿,779-0236,徳島県鳴門市大麻町板東字西山田１３,34.157512,134.502145,088-689-1557,,
107,阿波,民宿,779-0237,徳島県鳴門市大麻町板東字北条８３－３,34.157152,134.502357,088-689-2222,,
108,民宿 灯台,民宿,772-0013,徳島県鳴門市撫養町岡崎字二等道路東９４－１,34.181702,134.62245,088-686-0433,http://minshuku-todai.jimdo.com/,
109,民宿ささだ,民宿,772-0002,徳島県鳴門市撫養町斎田字大堤１４－２,34.177437,134.606644,088-686-4029,,
110,民宿　うちの海,民宿,772-0053,徳島県鳴門市鳴門町土佐泊浦字黒山179-4,34.2100518,134.623953,088-687-0043,,
111,民宿 鳴門,民宿,772-0053,徳島県鳴門市鳴門町土佐泊浦字大毛２３４－５２,34.219211,134.626743,088-687-0443,http://www12.ocn.ne.jp/~naruto/,
112,鯛名所 鯛丸,民宿,772-0053,徳島県鳴門市鳴門町土佐泊浦字福池15-33,34.228932,134.63638,088-687-0077,http://www.taimaru.net/,
113,民宿やまひろ,釣宿・民宿,771-0361,徳島県鳴門市瀬戸町堂浦字地廻り弐８１－２,34.21851,134.587161,088-688-0536,,
114,大谷荘,公共の宿・国民宿舎,772-0021,徳島県鳴門市里浦町里浦字坂田４３２－８７,34.179604,134.627953,088-685-4121,http://www.ohtaniso.com/,
115,鳴門パークヒルズ ホテルリッジ,,771-0367,徳島県鳴門市瀬戸町大島田字中山１－１,34.2448645,134.6124098,088-688-1212,http://www.hotel-ridge.co.jp/,
116,イセヤリゾート鳴門,,772-0051,徳島県鳴門市鳴門町高島字山路99-3,34.2110461,134.6026755,088-683-6251,http://iseya-resort.com/,
117,三ツ石荘,,772-0053,徳島県鳴門市鳴門町土佐泊浦字大毛16-252,34.216365,134.6296773,088-687-0029,http://www.tv-naruto.ne.jp/tatumaru/index.html,
118,大塚潮騒荘,保養施設,772-0053,徳島県鳴門市鳴門町土佐泊浦字福池１７－１,34.230057,134.636668,088-687-1111,,
119,株式会社阿波銀行／保養所鳴門荘,保養施設,772-0021,徳島県鳴門市里浦町里浦字花面２２－８,34.180182,134.624835,088-685-7115,,
120,みどり旅館,ビジネスホテル・ビジネス旅館,773-0001,徳島県小松島市小松島町字外開７－５,34.009797,134.585931,0885-32-3633,http://www.komatsushima.ne.jp/midori/,
121,ビジネス旅館あかいし,ビジネスホテル・ビジネス旅館,773-0021,徳島県小松島市赤石町５－１０８,33.982798,134.61058,0885-37-2199,,
122,かめや旅館・東京旅館,ビジネスホテル・ビジネス旅館・リゾート旅館・割ぽう旅館・観光ホテル・観光旅館,773-0001,徳島県小松島市小松島町字新港４３－１１,34.01161,134.588197,0885-32-0963,,
123,末広旅館,旅館,773-0001,徳島県小松島市小松島町字外開１５－１,34.010087,134.586271,0885-32-0302,,
124,つるや旅館,旅館,773-0001,徳島県小松島市小松島町字外開７－１６二条通,34.009772,134.586832,0885-32-0414,,
125,ひらの旅館,旅館,773-0001,徳島県小松島市小松島町字新港３６,34.011558,134.587983,0885-32-0534,,
126,旅館朝日屋,旅館,773-0021,徳島県小松島市赤石町９－２,33.98247,134.607881,0885-37-1107,,
127,長楽苑温泉,温泉旅館,773-0015,徳島県小松島市中田町字東山７－２,34.018534,134.581831,0885-32-2252,,
128,民宿ちば,民宿,773-0008,徳島県小松島市田野町字恩山寺谷２１,33.988054,134.580902,0885-33-1508,,
129,鮒の里,民宿,773-0017,徳島県小松島市立江町字江ノ上４１－１,33.969258,134.600931,0885-37-1127,,
130,桧垣旅館,旅館,774-1760,徳島県阿南市伊島町瀬戸１００,33.84387,134.806726,0884-33-0310,,
131,入船旅館,旅館,774-1760,徳島県阿南市伊島町瀬戸９５,33.844026,134.807358,0884-33-0303,,
132,龍山荘,民宿,771-5173,徳島県阿南市加茂町黒河６,33.884687,134.543547,0884-25-0658,,
133,須賀舘,旅館,771-5173,徳島県阿南市加茂町不け１４－２,33.915981,134.550997,0884-25-0014,,
134,碧,民宿,771-5172,徳島県阿南市吉井町片山１２,33.920131,134.557728,0884-25-0267,http://aoi-kajyu.com/,
135,ベイサイドホテル龍宮,ビジネスホテル,774-0023,徳島県阿南市橘町幸田９２－２,33.863947,134.632121,0884-27-2027,http://travel.rakuten.co.jp/HOTEL/30081/30081.html,
136,ふたば,民宿,774-0023,徳島県阿南市橘町幸野８１,33.87869,134.649946,0884-27-1187,,
137,じょう旅館,旅館,774-0023,徳島県阿南市橘町西浜１６９,33.872302,134.639558,0884-27-0030,,
138,ビジネスイン魚井,ビジネスホテル,774-0023,徳島県阿南市橘町西浜６２,33.87318,134.641804,0884-27-0074,,
139,えびすや旅館,旅館,774-0023,徳島県阿南市橘町東中浜１０７,33.874907,134.642438,0884-27-0107,,
140,えもと,ビジネス旅館・ホテル,779-1402,徳島県阿南市桑野町井ノ口原５６－６,33.873629,134.607948,0884-26-0052,,
141,山茶花,民宿,779-1510,徳島県阿南市新野町秋山１８８－１,33.851615,134.582906,0884-36-3701,,
142,北漁火,ペンション,774-0016,徳島県阿南市中林町大切１００－９,33.900132,134.684454,0884-23-0035,http://www4.ocn.ne.jp/~kitaisa/index.html,
143,伊勢えび・海賊料理民宿 北の脇,民宿,774-0016,徳島県阿南市中林町大切１０２－７,33.899776,134.685304,0884-23-6136,http://www.iseebi-kitanowaki.com/,
144,大浜荘,民宿,774-0016,徳島県阿南市中林町大切１０６,33.898833,134.685225,0884-22-0514,,
145,なみおと,民宿,774-0016,徳島県阿南市中林町大切７９－１,33.900082,134.683187,0884-28-7355,http://www.ric.hi-ho.ne.jp/oyado-namioto/,
146,丸三荘,民宿,774-0016,徳島県阿南市中林町大浜１３－２,33.903524,134.690356,0884-22-1235,,
147,民宿 ようき荘,民宿,774-0016,徳島県阿南市中林町堤ノ内１－４,33.901369,134.685225,0884-23-3005,,
148,浜銀荘,ビジネス旅館・民宿,774-0016,徳島県阿南市中林町堤ノ内５,33.900271,134.685472,0884-22-3235,,
149,司荘,民宿,774-0016,徳島県阿南市中林町堤ノ内６－４,33.90035,134.684895,0884-22-5045,,
150,天水旅館,ビジネス旅館,774-0021,徳島県阿南市津乃峰町長浜２７５－１,33.890222,134.654056,0884-27-0285,,
151,福島荘,民宿,774-0021,徳島県阿南市津乃峰町長浜３９１－３,33.888785,134.653539,0884-27-1076,,
152,ビジネスイン一楽,ビジネスホテル・ビジネス旅館・民宿,774-0021,徳島県阿南市津乃峰町東分１１５－１,33.888092,33.888092,0884-27-0115,http://www.b-ichiraku.jp/,
153,いさみ旅館,旅館,774-0021,徳島県阿南市津乃峰町東分１１７－２６,33.888785,134.652442,0884-27-0312,,
154,千明荘,民宿,774-0021,徳島県阿南市津乃峰町東分２２８－１,33.889,134.651194,0884-27-1589,,
155,伊丹旅館,民宿,774-0021,徳島県阿南市津乃峰町東分５２－３,33.889422,134.653829,0884-27-1410,http://wwwc.pikara.ne.jp/mitsuko,
156,椿活珍亭,割ぽう旅館,779-1750,徳島県阿南市椿町加茂前６６,33.828422,134.664775,0884-33-1077,,
157,蒲生田荘,公共の宿,779-1750,徳島県阿南市椿町蒲生田,,,0884-33-0810,緯度経度　詳細不明,
158,あたらしや,民宿,779-1750,徳島県阿南市椿町蒲生田１５４,33.838713,134.74125,090-6880-7643,,
159,椿自然園,割ぽう旅館,779-1750,徳島県阿南市椿町瀬井４５,33.842145,134.682073,0884-33-1127,http://www.tsubaki-s.com/,
160,かもだ岬温泉保養センター,保養施設,779-1570,徳島県阿南市椿町船瀬60-2,33.831407,134.725883,0884-21-3030,http://wwwd.pikara.ne.jp/kamodamisaki/,
161,つばき荘,保養施設・民宿・旅館,779-1750,徳島県阿南市椿町大深原３－８,33.843254,134.696462,0884-33-1227,,
162,ＹＭＣＡ阿南国際海洋センター,公共の宿・少年自然の家,779-1750,徳島県阿南市椿町那波江１４,33.84848,134.702987,0884-33-1221,http://www.osakaymca.jp/anan/,
163,ゆきや荘,民宿,779-1740,徳島県阿南市椿泊町東５５,33.843791,134.71346,0884-33-0070,,
164,玉梅旅館,民宿・旅館,779-1245,徳島県阿南市那賀川町中島５４０,33.938686,134.66851,0884-42-0012,,
165,やまに旅館,ビジネス旅館,779-1245,徳島県阿南市那賀川町中島７１９－１,33.938663,134.674331,0884-42-0468,,
166,ロイヤルガーデンホテル,ビジネスホテル,774-0030,徳島県阿南市富岡町あ王谷５２－２,33.917324,134.65576,0884-23-3838,,
167,民宿茶夢,民宿,774-0030,徳島県阿南市富岡町あ石２４,33.91741,134.664278,0884-22-0511,http://travel.rakuten.co.jp/HOTEL/79491/79491.html,
168,ホテル石松,ビジネスホテル・旅館,774-0030,徳島県阿南市富岡町トノ町１１３－３,33.921072,134.655388,0884-22-0126,http://www.i-taste.yad.jp/,
169,阿南第一ホテルアネックス,ビジネスホテル,774-0030,徳島県阿南市富岡町王塚28-2,33.918217,134.65779,0884-28-7600,http://www.anan1.co.jp/annex/,
170,あなんステーションホテル,ビジネスホテル,774-0030,徳島県阿南市富岡町今福寺４３－５,33.918771,134.661662,0884-28-7711,http://www.anan1.co.jp/station/,
171,ビジネスホテル丸の内,ビジネスホテル,774-0030,徳島県阿南市富岡町今福寺５９－５,33.919467,134.661555,0884-23-0668,,
172,阿南第一ホテル GP,ホテル,774-0030,徳島県阿南市富岡町西池田口１４－１,33.91669,134.656848,0884-22-6622,http://www.anan1.co.jp/,
173,阿南プラザイン,ビジネスホテル,774-0030,徳島県阿南市富岡町滝の下１７－１,33.917363,134.661874,0884-28-6600,http://www.anan-plaza.com/,
174,阿南プラザホテル,ビジネスホテル,774-0030,徳島県阿南市富岡町滝の下２４－８,33.916416,134.663236,0884-22-9800,,
175,ホテルサンオーシャン,ビジネスホテル,774-0030,徳島県阿南市富岡町滝ノ下４２－４,33.915986,134.665148,0884-23-2222,http://www.hotelsunocean.co.jp/,
176,阿南民宿みゆき荘,ビジネス旅館・観光旅館・民宿,779-1620,徳島県阿南市福井町浜田１０６,33.844124,134.635741,0884-34-2144,,
177,ホテル志な川,ビジネスホテル,774-0004,徳島県阿南市福村町南筋１１８,33.924193,134.692826,0884-22-7008,,
178,かさぎ旅館,ビジネス旅館・民宿,774-0004,徳島県阿南市福村町南筋１３６－１,33.923192,134.693889,0884-22-1283,http://www2.ocn.ne.jp/~kasagi,
179,海賊荘,観光旅館・民宿,774-0003,徳島県阿南市畭町亀崎７,33.916967,134.698229,0884-22-3660,,
180,平和荘,民宿,774-0003,徳島県阿南市畭町亀崎８２－３０,33.917156,134.697829,0884-22-5309,,
181,民宿　坂口屋,民宿,771-5173,徳島県阿南市加茂町黒河２２,33.885675,134.544146,0884-35-1201,http://minshuku-sakaguchiya.com/index.html,
182,アクセス鴨島,ビジネスホテル,776-0010,徳島県吉野川市鴨島町鴨島２２４－１,34.067506,134.35563,0883-24-5050,,
183,三笠屋旅館,ビジネスホテル・ビジネス旅館,776-0010,徳島県吉野川市鴨島町鴨島４６１－１０,34.072687,134.357302,0883-24-2511,,
184,セントラルホテル鴨島,ビジネスホテル・観光ホテル,776-0010,徳島県吉野川市鴨島町鴨島４７１－２,34.073925,134.357264,0883-24-8989,http://www.central-kamojima.jp/,
185,さくら旅館,ビジネス旅館・割ぽう旅館,776-0010,徳島県吉野川市鴨島町鴨島５０２－１１,34.072173,134.355749,0883-24-2404,,
186,しげる旅館,旅館,776-0010,徳島県吉野川市鴨島町鴨島526-16,34.073456,134.355095,0883-24-2722,,
