タクシー会社一覧 (判明分),,,2014/7/31,,,,,,
ID,会社名,郵便番号,住所,緯度,経度,電話,FAX,ＵＲＬ,備考
1,有限会社名東タクシー,770-0047,徳島県徳島市名東町３丁目４７４,34.0569256,134.4925272,088-631-9513,,,
2,あいつむぎ介護タクシー,770-0006,徳島県徳島市北矢三町３丁目７２４－９２,34.085031,134.520536,088-633-2378,,,
3,飛鳥指定訪問介護事業所,770-0011,徳島県徳島市北佐古一番町２－４,34.0810574,134.5407892,"088-631-0505,0120-673050",,,
4,介護タクシー大家,770-0872,徳島県徳島市北沖洲１丁目１４－１０,34.0729727,134.5813025,088-679-8996,,,
5,有限会社城東タクシー,770-0872,徳島県徳島市北沖洲3丁目7-52,34.067496,134.590501,088-664-0982,,,
6,三ツ矢タクシー,770-0062,徳島県徳島市不動東町３丁目７７０－３,34.0949439,134.5156107,"088-631-0843,088-631-0297",,,
7,勝本タクシー,770-8075,徳島県徳島市八万町千鳥１１－７,34.0514856,134.5366788,"088-668-3473,090-3782-4919",,http://www.stannet.ne.jp/katumoto/,
8,健ちゃん介護タクシー,770-8070,徳島県徳島市八万町中津浦,,,080-6388-1637,,http://kaigotaxi-info.jp/top_701.html,みつからず
9,眉山タクシー株式会社,770-0841,徳島県徳島市八百屋町２丁目１８－１,34.0721838,134.5518774,"088-622-8103,0120-143636",,,
10,ヘルパーステーションエクセレント城北,770-0005,徳島県徳島市南矢三町１丁目４０３－５－１Ｆ,34.0829264,134.532576,088-635-0216,088-635-0217,http://www.excare.co.jp/facility/08/taxi/index.html,
11,有限会社阿波タクシー,770-8063,徳島県徳島市南二軒屋町１丁目２－１６,34.054816,134.5458363,"088-622-7098,0120-247098",,,
12,徳島第一交通株式会社タクシー,770-0814,徳島県徳島市南常三島町３丁目３６－２,34.0775472,134.5656982,"088-654-8811,0120-418811(貸切ご予約専用)",,www.daiichi-koutsu.co.jp/,
13,撫養タクシー,770-0944,徳島県徳島市南昭和町７丁目８－５７,34.0553162,134.565265,088-655-2323,,,
14,有限会社内町タクシー,770-0944,徳島県徳島市南昭和町７丁目２８－１,34.0561634,134.5657566,"088-622-1616,0120-271616",,http://www.uchimachi.com/,
15,めぐみ介護タクシー,770-0045,徳島県徳島市南庄町１丁目３－１,34.0719578,134.5162,088-634-1828,,,
16,有限会社津田タクシー,770-8005,徳島県徳島市津田浜之町１－３２,34.0535277,134.5759472,"088-662-0035,088-663-5277(介護部)",,,
17,ノヴィルタクシーサービス,770-8001,徳島県徳島市津田海岸町１－９８－３Ｆ,34.0511614,134.584924,"088-632-5150,0120-818194,088-663-5080（巡礼・観光予約）","088-622-5255,088-654-8855,088-663-5211(巡礼・観光予約)",http://novil-taxi.com/,
18,東宝タクシー有限会社,770-8001,徳島県徳島市津田海岸町１－９８,34.0511614,134.584924,"088-662-6198,0120-213393",,http://www.toho-taxi.co.jp/index.html,
19,富田タクシー株式会社,770-0932,徳島県徳島市仲之町１丁目４４,34.0667455,134.5502526,088-622-2508,088-622-5158,http://www.tomitaku.jp/,
20,金比羅タクシー,770-0922,徳島県徳島市鷹匠町２丁目２３,34.0640318,134.5478139,"088-622-1693,088-602-0901",,http://www.konpira-taxi.com/,
